Line 3 x;Line 3 y
3,500000000000E2;-1,134923057874E-6
3,588430367363E2;1,470860283027E-3
3,676870949034E2;-6,015092206822E-5
3,785714609978E2;-9,646845992074E-5
3,911565092945E2;-1,384606130627E-4
4,003396824712E2;1,332399669964E-3
4,057813548031E2;2,815744106628E-3
4,105422435386E2;5,802861594998E-3
4,156432687146E2;8,788844160310E-3
4,170571434300E2;1,293145043817E-2
4,175118845395E2;1,359940599877E-2
4,179095458101E2;1,364271065978E-2
4,183609775034E2;1,413215116105E-2
4,187248500903E2;1,443219983503E-2
4,190279918539E2;1,493329301222E-2
4,193313044017E2;1,493228095834E-2
4,196344904427E2;1,530319870525E-2
4,199372463608E2;1,693867777485E-2
4,202405589086E2;1,693766572097E-2
4,205434160321E2;1,827560094994E-2
4,210549855482E2;1,906889305821E-2
4,216927360445E2;2,044755291361E-2
4,220587137034E2;2,198983868845E-2
4,223614696216E2;2,362531775805E-2
4,230773423189E2;2,515952878873E-2
4,232704964163E2;2,630017616211E-2
4,235733535398E2;2,763811139108E-2
4,238045678752E2;2,856121248178E-2
4,242730471101E2;3,144433358221E-2
4,244814694861E2;3,299086436083E-2
4,247843266096E2;3,432879958980E-2
4,249352997471E2;3,633671448713E-2
4,252379291585E2;3,834412335752E-2
4,255409229092E2;3,928037440163E-2
4,257122307393E2;4,095348500800E-2
4,258431879812E2;4,235894109830E-2
4,261460451047E2;4,369687632727E-2
4,263135516604E2;4,465589521017E-2
4,266940824011E2;4,750360454534E-2
4,269025047771E2;4,905013532396E-2
4,272053619006E2;5,038807055293E-2
4,273563350381E2;5,239598545026E-2
4,275326854266E2;5,410627216914E-2
4,278313425265E2;5,590243840673E-2
4,279649607472E2;5,712808433002E-2
4,281085562831E2;5,826730308092E-2
4,282638437520E2;5,953400146381E-2
4,285654864109E2;6,444246278037E-2
4,285659418351E2;6,310351549752E-2
4,285664984648E2;6,146702437404E-2
4,287672140505E2;6,585512132079E-2
4,288926707795E2;6,856978717745E-2
4,289982760717E2;7,019848548606E-2
4,293206177625E2;7,370098468537E-2
4,294715529480E2;7,582047852294E-2
4,297742835648E2;7,753034355270E-2
4,299759099990E2;7,924054593375E-2
4,301013667280E2;8,195521179041E-2
4,302070023819E2;8,349464694682E-2
4,302262525955E2;8,634821087313E-2
4,305285413875E2;8,935704073215E-2
4,305566922987E2;9,081305031938E-2
4,306793380481E2;9,188379770159E-2
4,309810566110E2;9,656910113768E-2
4,309815120352E2;9,523015385483E-2
4,309820686648E2;9,359366273135E-2
4,311827842505E2;9,798175967809E-2
4,313082409796E2;1,006964255348E-1
4,314138766334E2;1,022358606912E-1
4,314331268470E2;1,050894246175E-1
4,317354573862E2;1,079755176422E-1
4,317447524686E2;1,103725714732E-1
4,321886519509E2;1,131903150175E-1
4,323935093671E2;1,153096289344E-1
4,324898771375E2;1,193261446767E-1
4,324903325618E2;1,179871973938E-1
4,324977407962E2;1,209774848796E-1
4,326198400365E2;1,236549690012E-1
4,326390902501E2;1,265085329275E-1
4,329414207893E2;1,293946259523E-1
4,329507158716E2;1,317916797833E-1
4,333929834171E2;1,394073177578E-1
4,333934388413E2;1,380683704749E-1
4,333938942656E2;1,367294231921E-1
4,333946153539E2;1,346094233276E-1
4,335981064974E2;1,407455790930E-1
4,336949296921E2;1,434231475524E-1
4,337027933507E2;1,450744877553E-1
4,338248925910E2;1,477519718769E-1
4,338436873804E2;1,519444830861E-1
4,338443088447E2;1,501173779397E-1
